Season,Lg,Player,Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,-9999
2023-24,NBA,Damian Lillard,MIL,27:30,39,3,6,1,0,.538,.478,,lillada01
2022-23,NBA,Jayson Tatum,BOS,35:15,55,10,6,1,1,.710,.556,.500,tatumja01
2021-22,NBA,Stephen Curry,GSW,36:15,50,5,2,1,2,.567,.593,,curryst01
2020-21,NBA,Giannis Antetokounmpo,MIL,19:00,35,7,3,1,1,1.000,1.000,,antetgi01
2019-20,NBA,Kawhi Leonard,LAC,20:21,30,7,4,2,0,.611,.571,,leonaka01
2018-19,NBA,Kevin Durant,GSW,25:26,31,7,2,1,2,.667,.667,1.000,duranke01
2017-18,NBA,LeBron James,CLE,31:17,29,10,8,1,0,.706,.500,1.000,jamesle01
2016-17,NBA,Anthony Davis,NOP,31:50,52,10,0,2,0,.667,.000,,davisan02
2015-16,NBA,Russell Westbrook,OKC,22:11,31,8,5,5,0,.522,.412,,westbru01
2014-15,NBA,Russell Westbrook,OKC,25:33,41,5,1,3,0,.571,.556,1.000,westbru01
2013-14,NBA,Kyrie Irving,CLE,33:51,31,5,14,0,0,.824,.500,,irvinky01
2012-13,NBA,Chris Paul,LAC,27:17,20,0,15,4,0,.700,.800,.667,paulch01
2011-12,NBA,Kevin Durant,OKC,37:23,36,7,3,3,0,.560,.375,.714,duranke01
2010-11,NBA,Kobe Bryant,LAL,29:21,37,14,3,3,0,.538,.286,.875,bryanko01
2009-10,NBA,Dwyane Wade,MIA,31:20,28,6,11,5,0,.750,.000,.667,wadedw01
2008-09,NBA,Shaquille O'Neal (Tie),PHO,10:56,17,5,3,0,1,.889,,.250,onealsh01
2008-09,NBA,Kobe Bryant (Tie),LAL,29:14,27,4,4,4,0,.522,.375,,bryanko01
2007-08,NBA,LeBron James,CLE,30:15,27,8,9,2,2,.545,.286,1.000,jamesle01
2006-07,NBA,Kobe Bryant,LAL,28:09,31,5,6,6,0,.542,.333,1.000,bryanko01
2005-06,NBA,LeBron James,CLE,30:34,29,6,2,2,0,.571,.400,.200,jamesle01
2004-05,NBA,Allen Iverson,PHI,31:50,15,4,10,5,0,.286,,1.000,iversal01
2003-04,NBA,Shaquille O'Neal,LAL,23:31,24,11,1,2,2,.632,,.000,onealsh01
2002-03,NBA,Kevin Garnett,MIN,41:00,37,9,3,5,1,.708,,1.000,garneke01
2001-02,NBA,Kobe Bryant,LAL,30:00,31,5,5,1,0,.480,.000,1.000,bryanko01
2000-01,NBA,Allen Iverson,PHI,27:00,25,2,5,4,0,.429,1.000,1.000,iversal01
1999-00,NBA,Shaquille O'Neal (Tie),LAL,25:00,22,9,3,0,3,.550,,.000,onealsh01
1999-00,NBA,Tim Duncan (Tie),SAS,33:00,24,14,4,1,1,.857,,,duncati01
1997-98,NBA,Michael Jordan,CHI,32:00,23,6,8,3,0,.556,1.000,.667,jordami01
1996-97,NBA,Glen Rice,CHH,25:00,26,1,1,2,0,.417,.571,1.000,ricegl01
1995-96,NBA,Michael Jordan,CHI,22:00,20,4,1,1,0,.727,,1.000,jordami01
1994-95,NBA,Mitch Richmond,SAC,22:00,23,4,2,0,0,.769,1.000,,richmmi01
1993-94,NBA,Scottie Pippen,CHI,31:00,29,11,2,4,1,.600,.556,.600,pippesc01
1992-93,NBA,John Stockton (Tie),UTA,31:00,9,6,15,2,0,.500,.500,1.000,stockjo01
1992-93,NBA,Karl Malone (Tie),UTA,34:00,28,10,0,1,2,.647,,.667,malonka01
1991-92,NBA,Magic Johnson,LAL,29:00,25,5,9,2,0,.750,1.000,1.000,johnsma02
1990-91,NBA,Charles Barkley,PHI,35:00,17,22,4,1,1,.467,,.500,barklch01
1989-90,NBA,Magic Johnson,LAL,25:00,22,6,4,0,1,.600,.667,,johnsma02