Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2023-24,NBA,Naz Reid,(V),24,MIN,81,24.2,13.5,5.2,1.3,0.8,0.9,.477,.414,.736,4.9,.120,reidna01
2022-23,NBA,Malcolm Brogdon,(V),30,BOS,67,26.0,14.9,4.2,3.7,0.7,0.3,.484,.444,.870,5.8,.161,brogdma01
2021-22,NBA,Tyler Herro,(V),22,MIA,66,32.6,20.7,5.0,4.0,0.7,0.1,.447,.399,.868,3.8,.084,herroty01
2020-21,NBA,Jordan Clarkson,(V),28,UTA,68,26.7,18.4,4.0,2.5,0.9,0.1,.425,.347,.896,4.2,.111,clarkjo01
2019-20,NBA,Montrezl Harrell,(V),26,LAC,63,27.8,18.6,7.1,1.7,0.6,1.1,.580,.000,.658,7.0,.191,harremo01
2018-19,NBA,Lou Williams,(V),32,LAC,75,26.6,20.0,3.0,5.4,0.8,0.1,.425,.361,.876,5.1,.123,willilo02
2017-18,NBA,Lou Williams,(V),31,LAC,79,32.8,22.6,2.5,5.3,1.1,0.2,.435,.359,.880,6.7,.125,willilo02
2016-17,NBA,Eric Gordon,(V),28,HOU,75,31.0,16.2,2.7,2.5,0.6,0.5,.406,.372,.840,3.8,.079,gordoer01
2015-16,NBA,Jamal Crawford,(V),35,LAC,79,26.9,14.2,1.8,2.3,0.7,0.2,.404,.340,.904,3.3,.076,crawfja01
2014-15,NBA,Lou Williams,(V),28,TOR,80,25.2,15.5,1.9,2.1,1.1,0.1,.404,.340,.861,6.6,.157,willilo02
2013-14,NBA,Jamal Crawford,(V),33,LAC,69,30.3,18.6,2.3,3.2,0.9,0.2,.416,.361,.866,5.3,.122,crawfja01
2012-13,NBA,J.R. Smith,(V),27,NYK,80,33.5,18.1,5.3,2.7,1.3,0.3,.422,.356,.762,6.7,.120,smithjr01
2011-12,NBA,James Harden,(V),22,OKC,62,31.4,16.8,4.1,3.7,1.0,0.2,.491,.390,.846,9.3,.230,hardeja01
2010-11,NBA,Lamar Odom,(V),31,LAL,82,32.2,14.4,8.7,3.0,0.6,0.7,.530,.382,.675,10.1,.184,odomla01
2009-10,NBA,Jamal Crawford,(V),29,ATL,79,31.1,18.0,2.5,3.0,0.8,0.2,.449,.382,.857,7.3,.143,crawfja01
2008-09,NBA,Jason Terry,(V),31,DAL,74,33.7,19.6,2.4,3.4,1.3,0.3,.463,.366,.880,7.3,.140,terryja01
2007-08,NBA,Manu Ginóbili,(V),30,SAS,74,31.1,19.5,4.8,4.5,1.5,0.4,.460,.401,.860,11.1,.232,ginobma01